iter	Passed	Remaining
693	3562	1570
694	3566	1565
695	3571	1560
696	3576	1554
697	3581	1549
698	3588	1545
699	3595	1541
700	3600	1535
701	3604	1530
702	3609	1524
703	3614	1519
704	3618	1514
705	3623	1509
706	3628	1503
707	3633	1498
708	3637	1493
709	3642	1487
710	3647	1482
711	3652	1477
712	3656	1471
713	3661	1466
714	3666	1461
715	3671	1456
716	3676	1451
717	3681	1445
718	3685	1440
719	3690	1435
720	3695	1429
721	3699	1424
722	3704	1419
723	3709	1414
724	3714	1408
725	3718	1403
726	3723	1398
727	3728	1393
728	3733	1387
729	3738	1382
730	3743	1377
731	3748	1372
732	3752	1367
733	3757	1361
734	3762	1356
735	3767	1351
736	3772	1346
737	3777	1341
738	3782	1335
739	3787	1330
740	3792	1325
741	3797	1320
742	3802	1315
743	3806	1309
744	3811	1304
745	3815	1299
746	3820	1293
747	3825	1288
748	3830	1283
749	3834	1278
750	3840	1273
751	3844	1267
752	3849	1262
753	3854	1257
754	3859	1252
755	3863	1247
756	3868	1241
757	3873	1236
758	3877	1231
759	3882	1226
760	3887	1220
761	3891	1215
762	3896	1210
763	3901	1205
764	3905	1199
765	3910	1194
766	3915	1189
767	3919	1184
768	3924	1178
769	3929	1173
770	3934	1168
771	3939	1163
772	3943	1158
773	3948	1152
774	3953	1147
775	3957	1142
776	3962	1137
777	3967	1132
778	3972	1127
779	3988	1125
780	4020	1127
781	4027	1122
782	4035	1118
783	4040	1113
784	4047	1108
785	4052	1103
786	4057	1098
787	4062	1093
788	4067	1087
789	4072	1082
790	4077	1077
791	4082	1072
792	4087	1066
793	4092	1061
794	4097	1056
795	4102	1051
796	4106	1046
797	4111	1040
798	4116	1035
799	4121	1030
800	4125	1025
801	4130	1019
802	4136	1014
803	4140	1009
804	4145	1004
805	4150	999
806	4155	993
807	4160	988
808	4165	983
809	4169	978
810	4174	972
811	4179	967
812	4184	962
813	4189	957
814	4194	952
815	4199	946
816	4204	941
817	4208	936
818	4213	931
819	4218	926
820	4223	920
821	4228	915
822	4233	910
823	4237	905
824	4242	899
825	4247	894
826	4252	889
827	4257	884
828	4261	879
829	4266	873
830	4271	868
831	4276	863
832	4281	858
833	4285	853
834	4290	847
835	4295	842
836	4300	837
837	4305	832
838	4310	827
839	4315	821
840	4319	816
841	4324	811
842	4329	806
843	4334	801
844	4339	795
845	4343	790
846	4348	785
847	4353	780
848	4358	775
849	4363	769
850	4367	764
851	4374	759
852	4382	755
853	4387	750
854	4392	744
855	4396	739
856	4401	734
857	4406	729
858	4411	724
859	4416	718
860	4420	713
861	4425	708
862	4430	703
863	4435	698
864	4439	692
865	4444	687
866	4449	682
867	4454	677
868	4459	672
869	4464	667
870	4469	661
871	4473	656
872	4478	651
873	4482	646
874	4487	641
875	4492	635
876	4496	630
877	4501	625
878	4506	620
879	4511	615
880	4516	610
881	4521	604
882	4525	599
883	4530	594
884	4535	589
885	4540	584
886	4544	578
887	4548	573
888	4553	568
889	4558	563
890	4562	558
891	4567	552
892	4571	547
893	4576	542
894	4581	537
895	4586	532
896	4590	527
897	4595	521
898	4600	516
899	4605	511
900	4609	506
901	4614	501
902	4619	496
903	4624	491
904	4629	485
905	4633	480
906	4638	475
907	4643	470
908	4648	465
909	4652	460
910	4657	455
911	4662	449
912	4666	444
913	4671	439
914	4676	434
915	4680	429
916	4685	424
917	4690	418
918	4695	413
919	4699	408
920	4704	403
921	4709	398
922	4714	393
923	4718	388
924	4723	383
925	4728	377
926	4733	372
927	4737	367
928	4742	362
929	4747	357
930	4751	352
931	4758	347
932	4766	342
933	4771	337
934	4775	332
935	4780	326
936	4785	321
937	4790	316
938	4795	311
939	4800	306
940	4805	301
941	4809	296
942	4814	291
943	4818	285
944	4823	280
945	4827	275
946	4832	270
947	4838	265
948	4842	260
949	4847	255
950	4852	250
951	4857	244
952	4861	239
953	4866	234
954	4871	229
955	4875	224
956	4880	219
957	4885	214
958	4890	209
959	4895	203
960	4900	198
961	4903	193
962	4908	188
963	4913	183
964	4917	178
965	4922	173
966	4926	168
967	4931	163
968	4935	157
969	4940	152
970	4945	147
971	4949	142
972	4954	137
973	4958	132
974	4963	127
975	4968	122
976	4972	117
977	4977	111
978	4981	106
979	4986	101
980	4990	96
981	4995	91
982	5000	86
983	5004	81
984	5009	76
985	5014	71
986	5018	66
987	5023	61
988	5027	55
989	5032	50
990	5036	45
991	5041	40
992	5046	35
993	5050	30
994	5055	25
995	5061	20
996	5065	15
997	5070	10
998	5075	5
999	5079	0
